Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Total,113904639,125724.0,64356313,83087.0,49548326,95377.0,43.5,0.1,50078,54,53544,209,43394,181,81,0.4,2019
"Management, Business, Science, and Arts Occupations:",49569176,169245.0,24972005,101347.0,24597171,89023.0,49.6,0.1,69998,196,81524,133,60523,100,74.2,0.1,2019
"Management, Business, and Financial Occupations:",21998717,92539.0,12218349,57032.0,9780368,52738.0,44.5,0.1,75389,177,85162,309,65379,211,76.8,0.3,2019
Management Occupations:,14867734,72493.0,8900617,48751.0,5967117,39262.0,40.1,0.2,78315,684,87792,963,66767,289,76.1,0.8,2019
Chief executives,1268017,20322.0,932743,16035.0,335274,10531.0,26.4,0.7,150513,442,157133,3570,120635,1413,76.8,2,2019
General and operations managers,1026798,16816.0,685078,13353.0,341720,10010.0,33.3,0.8,72566,1386,80489,767,61643,772,76.6,1.2,2019
Legislators,12078,1675.0,7266,1558.0,4812,1187.0,39.8,8.1,72354,13792,77814,23583,71119,13950,(X),(X),2019
Advertising and promotions managers,47962,3614.0,20939,2381.0,27023,2677.0,56.3,3.6,81019,4796,91634,10878,72041,10979,78.6,15.2,2019
Marketing managers,462811,11324.0,185926,8109.0,276885,8855.0,59.8,1.2,80596,986,95007,6099,75432,1753,79.4,5.4,2019
Sales managers,494737,10493.0,334121,9337.0,160616,7173.0,32.5,1.3,99456,3172,106477,1771,77087,2452,72.4,2.6,2019
Public relations and fundraising managers,84254,4722.0,28038,3372.0,56216,3497.0,66.7,1.8,80613,2211,88589,6236,76776,3758,86.7,7.4,2019
Administrative services managers,56637,3725.0,17489,2108.0,39148,3109.0,69.1,3.1,64213,4151,76445,5306,60398,3676,79,7.3,2019
