Variable,Coefficient,Std. Error,t-Statistic,P-value,95% CI Lower,95% CI Upper
Intercept,49640.0,5357.88,9.27,0.0,39100.0,60100.0
Context,-339.73,176.95,-1.92,0.055,-686.62,7.15
Zone_2,-63.52,5567.26,-0.01,0.991,-10984.7,10857.66
Zone_3,9520.79,5679.46,1.68,0.094,-1612.95,20654.53
Zone_4,25547.7,5846.5,4.37,0.0,14100.0,37000.0
Zone_5,47040.68,5896.78,7.98,0.0,35500.0,58600.0
Context × Zone_2,332.71,182.95,1.82,0.069,-25.94,691.36
Context × Zone_3,587.86,187.55,3.13,0.002,220.19,955.53
Context × Zone_4,1142.94,192.23,5.95,0.0,766.11,1519.77
Context × Zone_5,1824.72,210.96,8.65,0.0,1411.17,2238.27
