national_M2015_dl.xlsx,national_M2016_dl.xlsx,national_M2017_dl.xlsx,national_M2018_dl.xlsx,national_M2019_dl.xlsx,national_M2020_dl.xlsx,national_M2021_dl.xlsx,national_M2022_dl.xlsx,national_M2023_dl.xlsx
OCC_CODE,OCC_CODE,OCC_CODE,OCC_CODE,area,AREA,AREA,AREA,AREA
OCC_TITLE,OCC_TITLE,OCC_TITLE,OCC_TITLE,area_title,AREA_TITLE,AREA_TITLE,AREA_TITLE,AREA_TITLE
OCC_GROUP,OCC_GROUP,OCC_GROUP,OCC_GROUP,area_type,AREA_TYPE,AREA_TYPE,AREA_TYPE,AREA_TYPE
TOT_EMP,TOT_EMP,TOT_EMP,TOT_EMP,naics,PRIM_STATE,PRIM_STATE,PRIM_STATE,PRIM_STATE
EMP_PRSE,EMP_PRSE,EMP_PRSE,EMP_PRSE,naics_title,NAICS,NAICS,NAICS,NAICS
H_MEAN,H_MEAN,H_MEAN,H_MEAN,i_group,NAICS_TITLE,NAICS_TITLE,NAICS_TITLE,NAICS_TITLE
A_MEAN,A_MEAN,A_MEAN,A_MEAN,own_code,I_GROUP,I_GROUP,I_GROUP,I_GROUP
MEAN_PRSE,MEAN_PRSE,MEAN_PRSE,MEAN_PRSE,occ_code,OWN_CODE,OWN_CODE,OWN_CODE,OWN_CODE
H_PCT10,H_PCT10,H_PCT10,H_PCT10,occ_title,OCC_CODE,OCC_CODE,OCC_CODE,OCC_CODE
H_PCT25,H_PCT25,H_PCT25,H_PCT25,o_group,OCC_TITLE,OCC_TITLE,OCC_TITLE,OCC_TITLE
H_MEDIAN,H_MEDIAN,H_MEDIAN,H_MEDIAN,tot_emp,O_GROUP,O_GROUP,O_GROUP,O_GROUP
H_PCT75,H_PCT75,H_PCT75,H_PCT75,emp_prse,TOT_EMP,TOT_EMP,TOT_EMP,TOT_EMP
H_PCT90,H_PCT90,H_PCT90,H_PCT90,jobs_1000,EMP_PRSE,EMP_PRSE,EMP_PRSE,EMP_PRSE
A_PCT10,A_PCT10,A_PCT10,A_PCT10,loc_quotient,JOBS_1000,JOBS_1000,JOBS_1000,JOBS_1000
A_PCT25,A_PCT25,A_PCT25,A_PCT25,pct_total,LOC_QUOTIENT,LOC_QUOTIENT,LOC_QUOTIENT,LOC_QUOTIENT
A_MEDIAN,A_MEDIAN,A_MEDIAN,A_MEDIAN,h_mean,PCT_TOTAL,PCT_TOTAL,PCT_TOTAL,PCT_TOTAL
A_PCT75,A_PCT75,A_PCT75,A_PCT75,a_mean,H_MEAN,PCT_RPT,PCT_RPT,PCT_RPT
A_PCT90,A_PCT90,A_PCT90,A_PCT90,mean_prse,A_MEAN,H_MEAN,H_MEAN,H_MEAN
ANNUAL,ANNUAL,ANNUAL,ANNUAL,h_pct10,MEAN_PRSE,A_MEAN,A_MEAN,A_MEAN
HOURLY,HOURLY,HOURLY,HOURLY,h_pct25,H_PCT10,MEAN_PRSE,MEAN_PRSE,MEAN_PRSE
,,,,h_median,H_PCT25,H_PCT10,H_PCT10,H_PCT10
,,,,h_pct75,H_MEDIAN,H_PCT25,H_PCT25,H_PCT25
,,,,h_pct90,H_PCT75,H_MEDIAN,H_MEDIAN,H_MEDIAN
,,,,a_pct10,H_PCT90,H_PCT75,H_PCT75,H_PCT75
,,,,a_pct25,A_PCT10,H_PCT90,H_PCT90,H_PCT90
,,,,a_median,A_PCT25,A_PCT10,A_PCT10,A_PCT10
,,,,a_pct75,A_MEDIAN,A_PCT25,A_PCT25,A_PCT25
,,,,a_pct90,A_PCT75,A_MEDIAN,A_MEDIAN,A_MEDIAN
,,,,annual,A_PCT90,A_PCT75,A_PCT75,A_PCT75
,,,,hourly,ANNUAL,A_PCT90,A_PCT90,A_PCT90
,,,,,HOURLY,ANNUAL,ANNUAL,ANNUAL
,,,,,,HOURLY,HOURLY,HOURLY
