Original Occupation,Matched ONET Occupation
actors producers and directors,producers and directors
administrative law judges adjudicators and hearing officers,administrative law judges adjudicators and hearing officers
administrative services managers,administrative services managers
adult basic education adult secondary education and english as a second language instructors,adult basic education adult secondary education and english as a second language instructors
aerospace engineering and operations technologists and technicians,aerospace engineering and operations technologists and technicians
agricultural equipment operators,agricultural equipment operators
agricultural sciences teachers postsecondary,agricultural sciences teachers postsecondary
agricultural technicians,agricultural technicians
air traffic controllers,air traffic controllers
aircraft cargo handling supervisors,aircraft cargo handling supervisors
airfield operations specialists,airfield operations specialists
airline pilots copilots and flight engineers,airline pilots copilots and flight engineers
amusement and recreation attendants,amusement and recreation attendants
anesthesiologists,anesthesiologists
animal scientists,animal scientists
anthropologists and archeologists,anthropologists and archeologists
anthropology and archeology teachers postsecondary,anthropology and archeology teachers postsecondary
appraisers and assessors of real estate,appraisers and assessors of real estate
arbitrators mediators and conciliators,arbitrators mediators and conciliators
architects except landscape and naval,architects except landscape and naval
architectural and civil drafters,architectural and civil drafters
architecture teachers postsecondary,architecture teachers postsecondary
archivists,archivists
area ethnic and cultural studies teachers postsecondary,area ethnic and cultural studies teachers postsecondary
art directors,art directors
art drama and music teachers postsecondary,art drama and music teachers postsecondary
astronomers,astronomers
athletes and sports competitors,athletes and sports competitors
athletic trainers,athletic trainers
atmospheric earth marine and space sciences teachers postsecondary,atmospheric earth marine and space sciences teachers postsecondary
audio and video technicians,audio and video technicians
automotive and watercraft service attendants,automotive and watercraft service attendants
baggage porters and bellhops,baggage porters and bellhops
bailiffs,bailiffs
bailiffs correctional officers and jailers,correctional officers and jailers
barbers hairdressers hairstylists and cosmetologists,hairdressers hairstylists and cosmetologists
bicycle repairers,bicycle repairers
biochemists and biophysicists,biochemists and biophysicists
biological science teachers postsecondary,biological science teachers postsecondary
brickmasons and blockmasons,brickmasons and blockmasons
bridge and lock tenders,bridge and lock tenders
broadcast technicians,broadcast technicians
bus drivers transit and intercity,bus drivers transit and intercity
business teachers postsecondary,business teachers postsecondary
butchers and meat cutters,butchers and meat cutters
camera and photographic equipment repairers,camera and photographic equipment repairers
camera operators television video and film,camera operators television video and film
captains mates and pilots of water vessels,captains mates and pilots of water vessels
cardiologists,radiologists
cardiovascular technologists and technicians,cardiovascular technologists and technicians
career/technical education teachers middle school,career/technical education teachers middle school
career/technical education teachers postsecondary,career/technical education teachers postsecondary
career/technical education teachers secondary school,career/technical education teachers secondary school
carpet installers,carpet installers
cartographers and photogrammetrists,cartographers and photogrammetrists
cashiers,cashiers
cement masons and concrete finishers,cement masons and concrete finishers
chemical equipment operators and tenders,chemical equipment operators and tenders
chemical plant and system operators,chemical plant and system operators
chemistry teachers postsecondary,chemistry teachers postsecondary
chemists,chemists
child family and school social workers,child family and school social workers
choreographers,choreographers
civil engineering technologists and technicians,civil engineering technologists and technicians
claims adjusters appraisers examiners and investigators,claims adjusters examiners and investigators
claims adjusters examiners and investigators,claims adjusters examiners and investigators
cleaning washing and metal pickling equipment operators and tenders,cleaning washing and metal pickling equipment operators and tenders
clinical counseling and school psychologists,clinical and counseling psychologists
clinical laboratory technologists and technicians,medical and clinical laboratory technologists
coaches and scouts,coaches and scouts
coating painting and spraying machine setters operators and tenders,coating painting and spraying machine setters operators and tenders
coil winders tapers and finishers,coil winders tapers and finishers
commercial and industrial designers,commercial and industrial designers
commercial pilots,commercial pilots
communications teachers postsecondary,communications teachers postsecondary
community health workers,community health workers
computer network support specialists,computer network support specialists
computer numerically controlled tool operators,computer numerically controlled tool operators
computer numerically controlled tool operators and programmers,computer numerically controlled tool programmers
computer numerically controlled tool programmers,computer numerically controlled tool programmers
computer science teachers postsecondary,computer science teachers postsecondary
computer support specialists,computer user support specialists
computer user support specialists,computer user support specialists
concierges,concierges
conservation scientists,conservation scientists
continuous mining machine operators,continuous mining machine operators
control and valve installers and repairers except mechanical door,control and valve installers and repairers except mechanical door
conveyor operators and tenders,conveyor operators and tenders
cooks fast food,cooks fast food
cooks institution and cafeteria,cooks institution and cafeteria
cooks private household,cooks private household
cooks restaurant,cooks restaurant
cooks short order,cooks short order
cooling and freezing equipment operators and tenders,cooling and freezing equipment operators and tenders
correctional officers and jailers,correctional officers and jailers
costume attendants,costume attendants
craft artists,craft artists
credit counselors,credit counselors
criminal justice and law enforcement teachers postsecondary,criminal justice and law enforcement teachers postsecondary
crushing grinding and polishing machine setters operators and tenders,crushing grinding and polishing machine setters operators and tenders
curators,curators
cutters and trimmers hand,cutters and trimmers hand
cutting and slicing machine setters operators and tenders,cutting and slicing machine setters operators and tenders
dancers,dancers
database administrators,database administrators
database architects,database architects
demonstrators and product promoters,demonstrators and product promoters
dental laboratory technicians,dental laboratory technicians
dentists general,dentists general
dermatologists,dermatologists
derrick operators oil and gas,derrick operators oil and gas
diagnostic medical sonographers,diagnostic medical sonographers
dietetic technicians,dietetic technicians
dispatchers except police fire and ambulance,dispatchers except police fire and ambulance
dredge operators,dredge operators
drilling and boring machine tool setters operators and tenders metal and plastic,drilling and boring machine tool setters operators and tenders metal and plastic
driver/sales workers,driver/sales workers
drywall and ceiling tile installers,drywall and ceiling tile installers
economics teachers postsecondary,economics teachers postsecondary
education administrators kindergarten through secondary,education administrators kindergarten through secondary
education administrators postsecondary,education administrators postsecondary
education and childcare administrators preschool and daycare,education and childcare administrators preschool and daycare
education teachers postsecondary,education teachers postsecondary
electrical and electronic equipment assemblers,electrical and electronic equipment assemblers
electrical and electronics drafters,electrical and electronics drafters
electrical and electronics repairers commercial and industrial equipment,electrical and electronics repairers commercial and industrial equipment
electrical and electronics repairers powerhouse substation and relay,electrical and electronics repairers powerhouse substation and relay
electrical engineers,electrical engineers
electro mechanical and mechatronics technologists and technicians,electro mechanical and mechatronics technologists and technicians
electromechanical equipment assemblers,electromechanical equipment assemblers
electronics engineers except computer,electronics engineers except computer
elementary school teachers except special education,elementary school teachers except special education
embalmers,embalmers
engineering teachers postsecondary,engineering teachers postsecondary
english language and literature teachers postsecondary,english language and literature teachers postsecondary
environmental engineering technologists and technicians,environmental engineering technologists and technicians
environmental science and protection technicians including health,environmental science and protection technicians including health
environmental science teachers postsecondary,environmental science teachers postsecondary
environmental scientists and specialists including health,environmental scientists and specialists including health
epidemiologists,epidemiologists
excavating and loading machine and dragline operators,excavating and loading machine and dragline operators surface mining
executive secretaries and executive administrative assistants,executive secretaries and executive administrative assistants
extruding and drawing machine setters operators and tenders metal and plastic,extruding and drawing machine setters operators and tenders metal and plastic
extruding and forming machine setters operators and tenders synthetic and glass fibers,extruding and forming machine setters operators and tenders synthetic and glass fibers
fabric and apparel patternmakers,fabric and apparel patternmakers
facilities managers,facilities managers
fallers,fallers
